city,name,latitude,longitude,address,area_m2,area_missing
Houston,Harris County Parks Department,29.8203805,-95.6137534,"3535 War Memorial Street Dr, Houston",,True
Houston,Integrity Funeral Home at Forest Lawn Cemetery,29.62682989999999,-95.2628198,"8601 Almeda-Genoa Road, Houston",,True
Houston,Ervan Chew Dog Park,29.732712,-95.4023052,"4502 Dunlavy Street, Houston",,True
Houston,Nature Discovery Center,29.7001439,-95.4517592,"7112 Newcastle Street, Bellaire",,True
Houston,Japanese Garden,29.7192717,-95.39224949999999,"6000 Fannin Street, Houston",,True
Houston,Brookside Funeral Home & Memorial Park,29.9167937,-95.30972489999999,"13747 Eastex Freeway, Houston",,True
Houston,Danny Jackson Family Bark Park,29.726271,-95.45711100000001,"4828 1/2 Loop Central Drive, Houston",,True
Houston,Terry Hershey Park,29.7817875,-95.623719,"15200 Memorial Drive, Houston",,True
Houston,Memorial Oaks Funeral Home & Cemetery,29.7839865,-95.6144808,"13001 Katy Freeway, Houston",,True
Houston,Clinton Skatepark,29.745026,-95.2610712,"200 Mississippi Street, Houston",,True
Houston,AllStar RV Resort by QRV,29.6636437,-95.55024519999999,"10650 Southwest Plaza Court, Houston",,True
Houston,RISE Soccer Club: McGovern Park,29.70035350000001,-95.4381452,"7222 Braes Boulevard, Houston",,True
Houston,West Webster Dog Park,29.7517325,-95.38266709999999,"1913 Gillette Street, Houston",,True
Houston,Sheldon Lake State Park & Environmental Learning Center,29.8832317,-95.1644376,"14140 Garrett Road, Houston",,True
Houston,Officer Lucy Dog Park,29.6909746,-95.4477182,"4300 Edith Street, Bellaire",,True
Houston,Gene Green Park,29.8274704,-95.1608523,"6500 East Sam Houston Parkway North, Houston",,True
Houston,Zone 9 Tropicals,29.7894764,-95.39446129999999,"1015 Arlington Street, Houston",,True
Houston,Mud,29.9113418,-95.4432413,"2265 Stuebner Park Lane, Houston",,True
Houston,Earthman Resthaven Funeral Home and Cemetery,29.9611212,-95.41728719999999,"13102 North Freeway, Houston",,True
Houston,Locust Park,29.7097462,-95.45771409999999,"4616 Locust Street, Bellaire",,True
Houston,Cane River Gardens,29.776295,-95.328099,"4205 Lyons Avenue, Houston",,True
Houston,Paseo Park,29.705687,-95.46426579999999,"5000 Bellaire Boulevard, Bellaire",,True
Houston,Westbury Community Garden,29.6592528,-95.4777383,"5322 West Bellfort Avenue #100, Houston",,True
Houston,"Houston Pools, Fountains, and Spas",29.8048412,-95.4210281,"1223 West 21st Street, Houston",,True
Houston,Houston Solar Fountains - Fountains Feng Shui,29.7601715,-95.3613701,"1046 Prairie Street, Houston",,True
