system:index,city,greenSpaceArea_m2,.geo
00000000000000000d9a,Arlington,2.3362926207915893E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000278,Arlington Heights,3.940630475203972E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007fd,Arnold,1.4795367352249944E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000098e,Arnold,1.920513093110582E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ac6,Arroyo Grande,7.260495526852903E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c2c,Artesia,1.9417177821466744E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f23,Artesia,2.024298401158716E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e00,Artondale,1.7007054465800475E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000170,Arvada,1.135643065806599E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a16,Arvin,7.713012914714372E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f42,Asbury Lake,2.5088623137507424E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce6,Asbury Park,4.1741586283431344E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000436,Ashburn,1.3266261226022762E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000739,Asheboro,3.3671315903538626E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,Asheville,2.744377981088747E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000899,Ashland,6.859402243575194E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000944,Ashland,1.1303137911090937E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000951,Ashland,9.120003522068655E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a37,Ashland,7.690544744933482E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
