city,state,country,greenspacearea_km2,adjusted_obesity_rate,adjusted_smoking_rate,adjusted_exercising_rate,adjusted_chronic_rate,adjusted_life_expectancy,population_city,population_state
Bernalillo,New Mexico,United States,5.05,0.14229593576529379,0.06807367297413747,0.23759907792908627,0.07246552284343666,0.32719281526278976,9286.0,2114371
Jackson,Pennsylvania,United States,189.22,0.02391552084709987,0.01117012350942389,0.03637450476145729,0.013246620828483461,0.05499137727716377,9281.0,12961683
Bethalto,Illinois,United States,150.16,0.024700643976117657,0.009466115056715749,0.036977011940295894,0.011536827725372319,0.05679669034029449,9281.0,12549689
Laurens,South Carolina,United States,49.29,0.06041810309934485,0.027964950577411045,0.08199599706339658,0.029691182094535182,0.12912211748088556,9276.0,5373555
Charlotte,Michigan,United States,190.72,0.031873087687965866,0.014781721826303012,0.047855824412656,0.017738066191563612,0.0702131786749393,9273.0,10037261
Merrill,Wisconsin,United States,3.22,0.05909843671623283,0.02351396686322261,0.08621787849848289,0.026649162444985622,0.12180234835149312,9266.0,5910955
Picture Rocks,Arizona,United States,6.04,0.041360701375148294,0.016320035783567548,0.06727342994753036,0.020929511539231664,0.0950548649073438,9258.0,7431344
Fairfield Glade,Tennessee,United States,365.58,0.050529412169162125,0.02493996693182295,0.06196023034624765,0.029616210731539753,0.09586299789419446,9257.0,7126489
Bridgeport,West Virginia,United States,145.92,0.21437275679902104,0.11659786528336999,0.25672444777638864,0.13332939752134235,0.3806423584138715,9255.0,1770071
Augusta,Kansas,United States,97.13,0.11233699455815349,0.04751508733412094,0.15387336229394133,0.05443781529008558,0.24040746174349933,9253.0,2940546
Sugar Grove,Illinois,United States,18.01,0.02462080136009745,0.009435516688899623,0.03685748706601415,0.011499535964596413,0.05661310013339772,9251.0,12549689
Magalia,California,United States,219.88,0.006667091319167854,0.0023489040590662542,0.01300201438755866,0.00344031402590512,0.01874377986527617,9245.0,38965193
