city,lat,lng
Escondido,33.1348,-117.0723
Lake Charles,30.201,-93.2111
Pasadena,29.6575,-95.1498
Bellevue,47.5951,-122.1535
Joliet,41.5188,-88.1499
Champaign,40.1142,-88.2737
Pomona,34.0585,-117.7626
Fairfield,38.2583,-122.0335
Mesquite,32.7602,-96.5865
Elkhart,41.6916,-85.9627
Naperville,41.748,-88.1659
St. George,37.0758,-113.5752
Roseville,38.7703,-121.3196
Ramapo,41.1404,-74.1072
Topeka,39.0346,-95.6955
Burlington,36.076,-79.4685
Warner Robins,32.5961,-83.6527
Surprise,33.6815,-112.4515
Torrance,33.8346,-118.3416
Santa Maria,34.9333,-120.4431
Athens,33.9508,-83.3689
Houma,29.58,-90.7059
Columbia,38.9472,-92.3268
Fullerton,33.8841,-117.9279
Olathe,38.8833,-94.82
Thornton,39.9197,-104.9438
Greeley,40.4152,-104.7706
Beaumont,30.0849,-94.1451
Las Cruces,32.3265,-106.7893
Midland,32.0243,-102.1147
Metairie,29.9977,-90.178
West Valley City,40.6886,-112.0123
Orange,33.8038,-117.8218
Warren,42.4934,-83.027
Grand Junction,39.0877,-108.5673
Tyler,32.3184,-95.3062
Pasadena,34.1597,-118.139
Hampton,37.0551,-76.363
Bloomington,40.4757,-88.9703
Elizabeth,40.6658,-74.1913
Stamford,41.1039,-73.5585
Yuma,32.5995,-114.5491
Kent,47.3887,-122.2128
Miramar,25.9773,-80.3351
Coeur d'Alene,47.704,-116.7936
Lakewood,40.0763,-74.2031
Coral Springs,26.2702,-80.2591
Sterling Heights,42.5809,-83.0305
Yuba City,39.1357,-121.6383
Yakima,46.5923,-120.5496
Carrollton,32.989,-96.8999
Racine,42.7274,-87.8135
Johnson City,36.3406,-82.3806
Billings,45.7891,-108.5526
Iowa City,41.6559,-91.5303
Dover,39.161,-75.5202
Bellingham,48.7548,-122.469
Charleston,38.3484,-81.6322
Amherst,43.0117,-78.757
Lynchburg,37.4003,-79.1909
Santa Clara,37.3646,-121.968
Norman,35.2335,-97.3471
Greenville,35.5943,-77.376
Simi Valley,34.2663,-118.749
Fort Smith,35.3495,-94.3695
Abilene,32.4543,-99.7384
Lewisville,33.0454,-96.9815
Pearland,29.5581,-95.3218
Lehigh Acres,26.612,-81.6388
Kenosha,42.5865,-87.8773
Seaside,36.6224,-121.8199
Burlington,44.4876,-73.2316
Arvada,39.832,-105.151
Waldorf,38.6085,-76.9194
Independence,39.0871,-94.3501
Rochester,44.0154,-92.478
Logan,41.7399,-111.8422
Harlingen,26.1916,-97.6977
Berkeley,37.8722,-122.276
Clovis,36.8278,-119.683
Round Rock,30.527,-97.6642
Pueblo,38.2701,-104.6114
Temple,31.1068,-97.3891
Meridian,43.6116,-116.3977
Duluth,46.7756,-92.1393
The Woodlands,30.1738,-95.5134
Boulder,40.0248,-105.2524
Richardson,32.9716,-96.7093
Cambridge,42.3759,-71.1185
West Palm Beach,26.7469,-80.132
Port Arthur,29.8554,-93.9264
East Los Angeles,34.0326,-118.1691
Redding,40.5698,-122.365
Clearwater,27.979,-82.7623
Monroe,32.5185,-92.0774
Utica,43.0962,-75.2261
St. Cloud,45.534,-94.1718
Mandeville,30.3751,-90.0904
West Jordan,40.6024,-112.0008
Smithtown,40.8663,-73.2164
North Charleston,32.9067,-80.0722
Richmond,37.9477,-122.3389
Westminster,39.8837,-105.0624
Saginaw,43.4199,-83.9501
Kailua,21.392,-157.7396
Brandon,27.9367,-82.3
Carlsbad,33.1246,-117.2834
Lowell,42.6389,-71.3217
Broken Arrow,36.038,-95.7806
Elgin,42.0383,-88.324
Gresham,45.5021,-122.4413
League City,29.4874,-95.1087
Downey,33.9379,-118.1311
Waterloo,42.4918,-92.3522
Murrieta,33.5719,-117.1909
Leominster,42.5209,-71.7717
Longview,32.5193,-94.7622
Jacksonville,34.7289,-77.3941
Pompano Beach,26.2428,-80.1312
Bend,44.0563,-121.3095
Miami Gardens,25.9433,-80.2426
Costa Mesa,33.6667,-117.9135
Sioux City,42.4959,-96.3901
Everett,47.9525,-122.1669
Gilroy,37.0046,-121.5854
San Buenaventura,34.2741,-119.2314
Temecula,33.4928,-117.1315
Sugar Land,29.5935,-95.6358
Chico,39.7578,-121.8161
Eau Claire,44.8197,-91.4948
El Monte,34.0739,-118.0291
Idaho Falls,43.4871,-112.0362
Dearborn,42.3127,-83.213
Bloomington,39.1637,-86.5257
West Covina,34.0555,-117.9113
Sparks,39.5736,-119.7161
South Fulton,33.6273,-84.58
Centennial,39.5926,-104.8673
Sandy Springs,33.9366,-84.3703
Edison,40.536,-74.3697
Inglewood,33.9566,-118.3444
Hillsboro,45.5273,-122.936
Columbia,39.2004,-76.859
