system:index,city,greenSpaceArea_m2,.geo
00000000000000000226,Decatur,9.99988544412384E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000369,Decatur,1.8843349863238382E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000828,Decatur,9.629530583833477E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c7,Decatur,754484.4495250627,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007df,Dedham,9.372443719403437E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b0,Deer Park,5.5730859285561495E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000727,Deer Park,1.9425614037055317E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4a,Deerfield,3.0376388582959637E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000225,Deerfield Beach,5.8702790024101056E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bc3,Defiance,1101452.6736662025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001133,Del Aire,7172430.585227583,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000093a,Del City,1.0218335736934836E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000592,Del Rio,8955914.077000875,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d4,Delano,1.2004643161873579E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014c3,Delavan,1.737171333695803E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000491,Delaware,1.314176582735063E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000110d,Delhi,1.187279066907987E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b2b,Delran,9.872287952036075E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f4,Delray Beach,6.3225740620924585E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000139e,Delta,2.0675291245446317E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9,Deltona,2.110555799658891E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
